Endogenous,Exogenous,Scale,Direction,Test,Statistic,p_value,p_value_fdr,Significant_Original,Significant_FDR
Unemployment Rate,EPU,D1,X_to_Y,Linear_F,7.6024,6.00E-04,0.0029,Yes,Yes
Unemployment Rate,EPU,D1,Y_to_X,Linear_F,3.3635,0.0358,0.0965,Yes,Yes
Unemployment Rate,EPU,D1,X_to_Y,NN_GC,0.8826,0.5899,1,No,No
Unemployment Rate,EPU,D1,Y_to_X,NN_GC,-0.033,1,1,No,No
Unemployment Rate,EPU,D2,X_to_Y,Linear_F,1.8832,0.1538,0.2461,No,No
Unemployment Rate,EPU,D2,Y_to_X,Linear_F,1.1071,0.3318,0.5381,No,No
Unemployment Rate,EPU,D2,X_to_Y,NN_GC,1.9217,0.0183,0.4392,Yes,No
Unemployment Rate,EPU,D2,Y_to_X,NN_GC,7.00E-04,1,1,No,No
Unemployment Rate,EPU,D3,X_to_Y,Linear_F,0.1233,0.8841,0.9128,No,No
Unemployment Rate,EPU,D3,Y_to_X,Linear_F,4.4475,0.0124,0.0512,Yes,Yes
Unemployment Rate,EPU,D3,X_to_Y,NN_GC,3.6904,0,0,Yes,Yes
Unemployment Rate,EPU,D3,Y_to_X,NN_GC,0.0462,1,1,No,No
Unemployment Rate,EPU,D4,X_to_Y,Linear_F,0.2025,0.8168,0.8726,No,No
Unemployment Rate,EPU,D4,Y_to_X,Linear_F,3.2796,0.0389,0.0972,Yes,Yes
Unemployment Rate,EPU,D4,X_to_Y,NN_GC,0.0263,1,1,No,No
Unemployment Rate,EPU,D4,Y_to_X,NN_GC,-0.0107,1,1,No,No
Unemployment Rate,EPU,D5,X_to_Y,Linear_F,6.8094,0.0013,0.005,Yes,Yes
Unemployment Rate,EPU,D5,Y_to_X,Linear_F,9.137,1.00E-04,0.0013,Yes,Yes
Unemployment Rate,EPU,D5,X_to_Y,NN_GC,-0.0984,1,1,No,No
Unemployment Rate,EPU,D5,Y_to_X,NN_GC,0.65,0.8415,1,No,No
Unemployment Rate,EPU,D6,X_to_Y,Linear_F,3.6093,0.0282,0.0622,Yes,Yes
Unemployment Rate,EPU,D6,Y_to_X,Linear_F,10.066,1.00E-04,0.0013,Yes,Yes
Unemployment Rate,EPU,D6,X_to_Y,NN_GC,0.6521,0.8396,1,No,No
Unemployment Rate,EPU,D6,Y_to_X,NN_GC,0.3531,0.9908,1,No,No
Unemployment Rate,GPR,D1,X_to_Y,Linear_F,0.0602,0.9416,0.9495,No,No
Unemployment Rate,GPR,D1,Y_to_X,Linear_F,1.3084,0.2717,0.4592,No,No
Unemployment Rate,GPR,D1,X_to_Y,NN_GC,0.7378,0.7545,1,No,No
Unemployment Rate,GPR,D1,Y_to_X,NN_GC,0.8947,0.5758,1,No,No
Unemployment Rate,GPR,D2,X_to_Y,Linear_F,0.2225,0.8006,0.8655,No,No
