"Endogenous","Exogenous","Scale","Direction","Test","Statistic","p_value","p_value_fdr","Significant_Original","Significant_FDR"
"Unemployment Rate","EPU","D1","X_to_Y","Linear_F",2.5508,0.0796,0.1676,"Yes","No"
"Unemployment Rate","EPU","D1","Y_to_X","Linear_F",1.9469,0.1444,0.304,"No","No"
"Unemployment Rate","EPU","D1","X_to_Y","NN_GC",0.1669,0.9999,1,"No","No"
"Unemployment Rate","EPU","D1","Y_to_X","NN_GC",-0.0203,1,1,"No","No"
"Unemployment Rate","EPU","D2","X_to_Y","Linear_F",0.2321,0.793,0.8323,"No","No"
"Unemployment Rate","EPU","D2","Y_to_X","Linear_F",1.7338,0.1783,0.3566,"No","No"
"Unemployment Rate","EPU","D2","X_to_Y","NN_GC",0.1733,0.9999,1,"No","No"
"Unemployment Rate","EPU","D2","Y_to_X","NN_GC",0.1467,1,1,"No","No"
"Unemployment Rate","EPU","D3","X_to_Y","Linear_F",1.1899,0.3056,0.4075,"No","No"
"Unemployment Rate","EPU","D3","Y_to_X","Linear_F",2.8481,0.0594,0.1653,"Yes","No"
"Unemployment Rate","EPU","D3","X_to_Y","NN_GC",0.0203,1,1,"No","No"
"Unemployment Rate","EPU","D3","Y_to_X","NN_GC",0.1051,1,1,"No","No"
"Unemployment Rate","EPU","D4","X_to_Y","Linear_F",9.2522,1e-04,6e-04,"Yes","Yes"
"Unemployment Rate","EPU","D4","Y_to_X","Linear_F",9.3032,1e-04,0.0013,"Yes","Yes"
"Unemployment Rate","EPU","D4","X_to_Y","NN_GC",0.3493,0.9913,1,"No","No"
"Unemployment Rate","EPU","D4","Y_to_X","NN_GC",0.5685,0.9063,1,"No","No"
"Unemployment Rate","EPU","D5","X_to_Y","Linear_F",0.4192,0.6579,0.7177,"No","No"
"Unemployment Rate","EPU","D5","Y_to_X","Linear_F",0.0288,0.9716,0.9839,"No","No"
"Unemployment Rate","EPU","D5","X_to_Y","NN_GC",0.1602,0.9999,1,"No","No"
"Unemployment Rate","EPU","D5","Y_to_X","NN_GC",0.0748,1,1,"No","No"
