"Endogenous","Exogenous","Scale","Direction","Test","Statistic","p_value","p_value_fdr","Significant_Original","Significant_FDR"
"Unemployment Rate","EPU","D1","X_to_Y","Linear_F",0.8049,0.448,0.5486,"No","No"
"Unemployment Rate","EPU","D1","Y_to_X","Linear_F",2.1401,0.1193,0.2922,"No","No"
"Unemployment Rate","EPU","D1","X_to_Y","NN_GC",0.1907,0.9998,1,"No","No"
"Unemployment Rate","EPU","D1","Y_to_X","NN_GC",0.1688,0.9999,1,"No","No"
"Unemployment Rate","EPU","D2","X_to_Y","Linear_F",4.6226,0.0105,0.0318,"Yes","Yes"
"Unemployment Rate","EPU","D2","Y_to_X","Linear_F",0.726,0.4846,0.6762,"No","No"
"Unemployment Rate","EPU","D2","X_to_Y","NN_GC",0.007,1,1,"No","No"
"Unemployment Rate","EPU","D2","Y_to_X","NN_GC",0.0052,1,1,"No","No"
"Unemployment Rate","EPU","D3","X_to_Y","Linear_F",2.0898,0.1254,0.209,"No","No"
"Unemployment Rate","EPU","D3","Y_to_X","Linear_F",1.7002,0.1843,0.3748,"No","No"
"Unemployment Rate","EPU","D3","X_to_Y","NN_GC",-0.0095,1,1,"No","No"
"Unemployment Rate","EPU","D3","Y_to_X","NN_GC",0.0021,1,1,"No","No"
"Unemployment Rate","EPU","D4","X_to_Y","Linear_F",2.6028,0.0756,0.1532,"Yes","No"
"Unemployment Rate","EPU","D4","Y_to_X","Linear_F",5.0279,0.0071,0.0355,"Yes","Yes"
"Unemployment Rate","EPU","D4","X_to_Y","NN_GC",-0.0035,1,1,"No","No"
"Unemployment Rate","EPU","D4","Y_to_X","NN_GC",0.1124,1,1,"No","No"
"Unemployment Rate","EPU","D5","X_to_Y","Linear_F",0.5183,0.596,0.6877,"No","No"
"Unemployment Rate","EPU","D5","Y_to_X","Linear_F",5.9747,0.0028,0.0177,"Yes","Yes"
"Unemployment Rate","EPU","D5","X_to_Y","NN_GC",-0.0535,1,1,"No","No"
"Unemployment Rate","EPU","D5","Y_to_X","NN_GC",-0.0029,1,1,"No","No"
"Unemployment Rate","EPU","D6","X_to_Y","Linear_F",8.4044,3e-04,0.0013,"Yes","Yes"
"Unemployment Rate","EPU","D6","Y_to_X","Linear_F",3.9064,0.0211,0.0873,"Yes","Yes"
"Unemployment Rate","EPU","D6","X_to_Y","NN_GC",-0.0112,1,1,"No","No"
"Unemployment Rate","EPU","D6","Y_to_X","NN_GC",-0.0061,1,1,"No","No"
"Unemployment Rate","GPR","D1","X_to_Y","Linear_F",1.9573,0.1429,0.2187,"No","No"
"Unemployment Rate","GPR","D1","Y_to_X","Linear_F",0.4953,0.6099,0.7704,"No","No"
"Unemployment Rate","GPR","D1","X_to_Y","NN_GC",0.199,0.9997,1,"No","No"
"Unemployment Rate","GPR","D1","Y_to_X","NN_GC",0.9909,0.4665,1,"No","No"
"Unemployment Rate","GPR","D2","X_to_Y","Linear_F",0.7363,0.4797,0.5756,"No","No"
"Unemployment Rate","GPR","D2","Y_to_X","Linear_F",0.4664,0.6277,0.7846,"No","No"
"Unemployment Rate","GPR","D2","X_to_Y","NN_GC",0.0054,1,1,"No","No"
"Unemployment Rate","GPR","D2","Y_to_X","NN_GC",0.9252,0.5405,1,"No","No"
"Unemployment Rate","GPR","D3","X_to_Y","Linear_F",0.5577,0.5731,0.6677,"No","No"
"Unemployment Rate","GPR","D3","Y_to_X","Linear_F",0.3671,0.693,0.8228,"No","No"
"Unemployment Rate","GPR","D3","X_to_Y","NN_GC",-0.0058,1,1,"No","No"
"Unemployment Rate","GPR","D3","Y_to_X","NN_GC",0.2869,0.9972,1,"No","No"
"Unemployment Rate","GPR","D4","X_to_Y","Linear_F",0.8302,0.4369,0.5461,"No","No"
"Unemployment Rate","GPR","D4","Y_to_X","Linear_F",0.2327,0.7925,0.8645,"No","No"
"Unemployment Rate","GPR","D4","X_to_Y","NN_GC",-0.006,1,1,"No","No"
"Unemployment Rate","GPR","D4","Y_to_X","NN_GC",0.0362,1,1,"No","No"
"Unemployment Rate","GPR","D5","X_to_Y","Linear_F",1.2652,0.2836,0.3793,"No","No"
"Unemployment Rate","GPR","D5","Y_to_X","Linear_F",0.2598,0.7714,0.8492,"No","No"
"Unemployment Rate","GPR","D5","X_to_Y","NN_GC",-0.1079,1,1,"No","No"
"Unemployment Rate","GPR","D5","Y_to_X","NN_GC",0.225,0.9994,1,"No","No"
"Unemployment Rate","GPR","D6","X_to_Y","Linear_F",23.8979,0,0,"Yes","Yes"
"Unemployment Rate","GPR","D6","Y_to_X","Linear_F",0.5038,0.6047,0.7704,"No","No"
"Unemployment Rate","GPR","D6","X_to_Y","NN_GC",-0.0377,1,1,"No","No"
"Unemployment Rate","GPR","D6","Y_to_X","NN_GC",-0.0926,1,1,"No","No"
"Unemployment Rate","USEMV","D1","X_to_Y","Linear_F",0.6345,0.5309,0.6246,"No","No"
"Unemployment Rate","USEMV","D1","Y_to_X","Linear_F",0.8263,0.4386,0.6498,"No","No"
"Unemployment Rate","USEMV","D1","X_to_Y","NN_GC",0.2086,0.9996,1,"No","No"
"Unemployment Rate","USEMV","D1","Y_to_X","NN_GC",0.5954,0.8869,1,"No","No"
"Unemployment Rate","USEMV","D2","X_to_Y","Linear_F",2.4475,0.0881,0.1663,"Yes","No"
"Unemployment Rate","USEMV","D2","Y_to_X","Linear_F",0.1244,0.8831,0.9296,"No","No"
"Unemployment Rate","USEMV","D2","X_to_Y","NN_GC",0.006,1,1,"No","No"
"Unemployment Rate","USEMV","D2","Y_to_X","NN_GC",0.1424,1,1,"No","No"
"Unemployment Rate","USEMV","D3","X_to_Y","Linear_F",3.0664,0.048,0.1129,"Yes","No"
"Unemployment Rate","USEMV","D3","Y_to_X","Linear_F",2.9978,0.0513,0.14,"Yes","No"
"Unemployment Rate","USEMV","D3","X_to_Y","NN_GC",-0.0052,1,1,"No","No"
