"Endogenous","Exogenous","Scale","Direction","Test","Statistic","p_value","p_value_fdr","Significant_Original","Significant_FDR"
"Unemployment Rate","EPU","D1","X_to_Y","Linear_F",0.9997,0.3691,0.5001,"No","No"
"Unemployment Rate","EPU","D1","Y_to_X","Linear_F",0.0639,0.9381,0.9496,"No","No"
"Unemployment Rate","EPU","D1","X_to_Y","NN_GC",0.1245,1,1,"No","No"
"Unemployment Rate","EPU","D1","Y_to_X","NN_GC",-0.0035,1,1,"No","No"
"Unemployment Rate","EPU","D2","X_to_Y","Linear_F",4.141,0.0168,0.048,"Yes","Yes"
"Unemployment Rate","EPU","D2","Y_to_X","Linear_F",2.8054,0.062,0.2067,"Yes","No"
"Unemployment Rate","EPU","D2","X_to_Y","NN_GC",0.4695,0.9601,1,"No","No"
"Unemployment Rate","EPU","D2","Y_to_X","NN_GC",0.1655,0.9999,1,"No","No"
"Unemployment Rate","EPU","D3","X_to_Y","Linear_F",8.0664,4e-04,0.0017,"Yes","Yes"
"Unemployment Rate","EPU","D3","Y_to_X","Linear_F",1.818,0.164,0.3644,"No","No"
"Unemployment Rate","EPU","D3","X_to_Y","NN_GC",0.2312,0.9993,1,"No","No"
"Unemployment Rate","EPU","D3","Y_to_X","NN_GC",0.0121,1,1,"No","No"
"Unemployment Rate","EPU","D4","X_to_Y","Linear_F",3.0566,0.0484,0.1019,"Yes","No"
"Unemployment Rate","EPU","D4","Y_to_X","Linear_F",2.5446,0.0801,0.2347,"Yes","No"
"Unemployment Rate","EPU","D4","X_to_Y","NN_GC",0.8259,0.6558,1,"No","No"
"Unemployment Rate","EPU","D4","Y_to_X","NN_GC",0.0379,1,1,"No","No"
"Unemployment Rate","EPU","D5","X_to_Y","Linear_F",0.0064,0.9936,0.9936,"No","No"
"Unemployment Rate","EPU","D5","Y_to_X","Linear_F",4.4216,0.0128,0.0587,"Yes","Yes"
"Unemployment Rate","EPU","D5","X_to_Y","NN_GC",0.3176,0.9949,1,"No","No"
"Unemployment Rate","EPU","D5","Y_to_X","NN_GC",0.2358,0.9992,1,"No","No"
"Unemployment Rate","EPU","D6","X_to_Y","Linear_F",4.4474,0.0124,0.0372,"Yes","Yes"
"Unemployment Rate","EPU","D6","Y_to_X","Linear_F",0.2955,0.7444,0.8427,"No","No"
"Unemployment Rate","EPU","D6","X_to_Y","NN_GC",-0.0307,1,1,"No","No"
"Unemployment Rate","EPU","D6","Y_to_X","NN_GC",0.0874,1,1,"No","No"
"Unemployment Rate","GPR","D1","X_to_Y","Linear_F",0.2037,0.8158,0.8613,"No","No"
"Unemployment Rate","GPR","D1","Y_to_X","Linear_F",1.9385,0.1456,0.3322,"No","No"
"Unemployment Rate","GPR","D1","X_to_Y","NN_GC",0.1513,1,1,"No","No"
"Unemployment Rate","GPR","D1","Y_to_X","NN_GC",-0.0114,1,1,"No","No"
"Unemployment Rate","GPR","D2","X_to_Y","Linear_F",0.0788,0.9242,0.9479,"No","No"
"Unemployment Rate","GPR","D2","Y_to_X","Linear_F",0.873,0.4187,0.628,"No","No"
"Unemployment Rate","GPR","D2","X_to_Y","NN_GC",0.5295,0.9309,1,"No","No"
"Unemployment Rate","GPR","D2","Y_to_X","NN_GC",0.5281,0.9317,1,"No","No"
"Unemployment Rate","GPR","D3","X_to_Y","Linear_F",1.9263,0.1474,0.2353,"No","No"
"Unemployment Rate","GPR","D3","Y_to_X","Linear_F",1.7231,0.1802,0.3861,"No","No"
"Unemployment Rate","GPR","D3","X_to_Y","NN_GC",0.1508,1,1,"No","No"
"Unemployment Rate","GPR","D3","Y_to_X","NN_GC",0.7951,0.6911,1,"No","No"
"Unemployment Rate","GPR","D4","X_to_Y","Linear_F",8.4166,3e-04,0.0013,"Yes","Yes"
"Unemployment Rate","GPR","D4","Y_to_X","Linear_F",5.1471,0.0063,0.042,"Yes","Yes"
"Unemployment Rate","GPR","D4","X_to_Y","NN_GC",0.4495,0.9676,1,"No","No"
"Unemployment Rate","GPR","D4","Y_to_X","NN_GC",0.2658,0.9982,1,"No","No"
"Unemployment Rate","GPR","D5","X_to_Y","Linear_F",0.6675,0.5137,0.6355,"No","No"
"Unemployment Rate","GPR","D5","Y_to_X","Linear_F",1.0126,0.3644,0.5909,"No","No"
"Unemployment Rate","GPR","D5","X_to_Y","NN_GC",0.1869,0.9998,1,"No","No"
"Unemployment Rate","GPR","D5","Y_to_X","NN_GC",0.2401,0.9991,1,"No","No"
"Unemployment Rate","GPR","D6","X_to_Y","Linear_F",6.9523,0.0011,0.0043,"Yes","Yes"
"Unemployment Rate","GPR","D6","Y_to_X","Linear_F",0.9313,0.3951,0.6002,"No","No"
"Unemployment Rate","GPR","D6","X_to_Y","NN_GC",-0.0277,1,1,"No","No"
"Unemployment Rate","GPR","D6","Y_to_X","NN_GC",-0.0319,1,1,"No","No"
"Unemployment Rate","USEMV","D1","X_to_Y","Linear_F",2.6855,0.0697,0.1349,"Yes","No"
"Unemployment Rate","USEMV","D1","Y_to_X","Linear_F",0.8213,0.4408,0.6377,"No","No"
"Unemployment Rate","USEMV","D1","X_to_Y","NN_GC",0.1235,1,1,"No","No"
"Unemployment Rate","USEMV","D1","Y_to_X","NN_GC",0.6428,0.8479,1,"No","No"
"Unemployment Rate","USEMV","D2","X_to_Y","Linear_F",1.9017,0.151,0.2353,"No","No"
