"Endogenous","Exogenous","Scale","Direction","Test","Statistic","p_value","p_value_fdr","Significant_Original","Significant_FDR"
"Unemployment Rate","EPU","D1","X_to_Y","Linear_F",0.7046,0.4951,0.5605,"No","No"
"Unemployment Rate","EPU","D1","Y_to_X","Linear_F",1.1839,0.3074,0.521,"No","No"
"Unemployment Rate","EPU","D1","X_to_Y","NN_GC",-0.0329,1,1,"No","No"
"Unemployment Rate","EPU","D1","Y_to_X","NN_GC",0.113,1,1,"No","No"
"Unemployment Rate","EPU","D2","X_to_Y","Linear_F",0.505,0.604,0.665,"No","No"
"Unemployment Rate","EPU","D2","Y_to_X","Linear_F",0.131,0.8773,0.9308,"No","No"
"Unemployment Rate","EPU","D2","X_to_Y","NN_GC",0.0049,1,1,"No","No"
"Unemployment Rate","EPU","D2","Y_to_X","NN_GC",0.0036,1,1,"No","No"
"Unemployment Rate","EPU","D3","X_to_Y","Linear_F",0.9817,0.3758,0.4698,"No","No"
"Unemployment Rate","EPU","D3","Y_to_X","Linear_F",0.8849,0.4137,0.6054,"No","No"
"Unemployment Rate","EPU","D3","X_to_Y","NN_GC",0.0035,1,1,"No","No"
"Unemployment Rate","EPU","D3","Y_to_X","NN_GC",0.0183,1,1,"No","No"
"Unemployment Rate","EPU","D4","X_to_Y","Linear_F",0.2514,0.7779,0.8001,"No","No"
"Unemployment Rate","EPU","D4","Y_to_X","Linear_F",4.0632,0.0181,0.0621,"Yes","Yes"
"Unemployment Rate","EPU","D4","X_to_Y","NN_GC",0.1116,1,1,"No","No"
"Unemployment Rate","EPU","D4","Y_to_X","NN_GC",-0.0222,1,1,"No","No"
"Unemployment Rate","EPU","D5","X_to_Y","Linear_F",3.3164,0.0375,0.0957,"Yes","Yes"
"Unemployment Rate","EPU","D5","Y_to_X","Linear_F",5.4581,0.0047,0.0235,"Yes","Yes"
"Unemployment Rate","EPU","D5","X_to_Y","NN_GC",-0.0539,1,1,"No","No"
"Unemployment Rate","EPU","D5","Y_to_X","NN_GC",-0.0285,1,1,"No","No"
"Unemployment Rate","EPU","D6","X_to_Y","Linear_F",2.487,0.0848,0.1688,"Yes","No"
"Unemployment Rate","EPU","D6","Y_to_X","Linear_F",11.7802,0,0,"Yes","Yes"
"Unemployment Rate","EPU","D6","X_to_Y","NN_GC",1.3713,0.1544,1,"No","No"
"Unemployment Rate","EPU","D6","Y_to_X","NN_GC",1.5786,0.0733,1,"Yes","No"
"Unemployment Rate","GPR","D1","X_to_Y","Linear_F",2.3473,0.0973,0.1851,"Yes","No"
"Unemployment Rate","GPR","D1","Y_to_X","Linear_F",0.9482,0.3885,0.5828,"No","No"
"Unemployment Rate","GPR","D1","X_to_Y","NN_GC",-0.0442,1,1,"No","No"
"Unemployment Rate","GPR","D1","Y_to_X","NN_GC",0.845,0.6337,1,"No","No"
"Unemployment Rate","GPR","D2","X_to_Y","Linear_F",0.9901,0.3727,0.4698,"No","No"
"Unemployment Rate","GPR","D2","Y_to_X","Linear_F",0.097,0.9076,0.9389,"No","No"
"Unemployment Rate","GPR","D2","X_to_Y","NN_GC",0.0046,1,1,"No","No"
"Unemployment Rate","GPR","D2","Y_to_X","NN_GC",1.467,0.1106,1,"No","No"
"Unemployment Rate","GPR","D3","X_to_Y","Linear_F",0.2613,0.7702,0.8001,"No","No"
"Unemployment Rate","GPR","D3","Y_to_X","Linear_F",0.2376,0.7887,0.8763,"No","No"
"Unemployment Rate","GPR","D3","X_to_Y","NN_GC",0.0101,1,1,"No","No"
"Unemployment Rate","GPR","D3","Y_to_X","NN_GC",0.6055,0.8791,1,"No","No"
"Unemployment Rate","GPR","D4","X_to_Y","Linear_F",1.2605,0.2849,0.3885,"No","No"
"Unemployment Rate","GPR","D4","Y_to_X","Linear_F",0.509,0.6016,0.768,"No","No"
"Unemployment Rate","GPR","D4","X_to_Y","NN_GC",0.0759,1,1,"No","No"
"Unemployment Rate","GPR","D4","Y_to_X","NN_GC",0.0767,1,1,"No","No"
"Unemployment Rate","GPR","D5","X_to_Y","Linear_F",0.7714,0.4632,0.5345,"No","No"
"Unemployment Rate","GPR","D5","Y_to_X","Linear_F",0.3012,0.7402,0.8565,"No","No"
"Unemployment Rate","GPR","D5","X_to_Y","NN_GC",-0.106,1,1,"No","No"
"Unemployment Rate","GPR","D5","Y_to_X","NN_GC",0.1209,1,1,"No","No"
"Unemployment Rate","GPR","D6","X_to_Y","Linear_F",4.0975,0.0175,0.0587,"Yes","Yes"
"Unemployment Rate","GPR","D6","Y_to_X","Linear_F",3.8164,0.023,0.0726,"Yes","Yes"
"Unemployment Rate","GPR","D6","X_to_Y","NN_GC",0.8718,0.6025,1,"No","No"
"Unemployment Rate","GPR","D6","Y_to_X","NN_GC",-0.0467,1,1,"No","No"
"Unemployment Rate","USEMV","D1","X_to_Y","Linear_F",2.5154,0.0824,0.1676,"Yes","No"
"Unemployment Rate","USEMV","D1","Y_to_X","Linear_F",4.6537,0.0102,0.0422,"Yes","Yes"
"Unemployment Rate","USEMV","D1","X_to_Y","NN_GC",-0.0365,1,1,"No","No"
"Unemployment Rate","USEMV","D1","Y_to_X","NN_GC",0.4902,0.9511,1,"No","No"
"Unemployment Rate","USEMV","D2","X_to_Y","Linear_F",1.6003,0.2034,0.3037,"No","No"
"Unemployment Rate","USEMV","D2","Y_to_X","Linear_F",1.3164,0.2695,0.4687,"No","No"
"Unemployment Rate","USEMV","D2","X_to_Y","NN_GC",0.0085,1,1,"No","No"
"Unemployment Rate","USEMV","D2","Y_to_X","NN_GC",0.1504,1,1,"No","No"
