"Endogenous","Exogenous","Scale","Direction","Test","Statistic","p_value","p_value_fdr","Significant_Original","Significant_FDR"
"Unemployment Rate","EPU","D1","X_to_Y","Linear_F",1.9337,0.1463,0.2222,"No","No"
"Unemployment Rate","EPU","D1","Y_to_X","Linear_F",0.6171,0.5402,0.697,"No","No"
"Unemployment Rate","EPU","D1","X_to_Y","NN_GC",-0.0442,1,1,"No","No"
"Unemployment Rate","EPU","D1","Y_to_X","NN_GC",-0.0039,1,1,"No","No"
"Unemployment Rate","EPU","D2","X_to_Y","Linear_F",3.7894,0.0236,0.0555,"Yes","Yes"
"Unemployment Rate","EPU","D2","Y_to_X","Linear_F",5.9791,0.0028,0.016,"Yes","Yes"
"Unemployment Rate","EPU","D2","X_to_Y","NN_GC",-0.0287,1,1,"No","No"
"Unemployment Rate","EPU","D2","Y_to_X","NN_GC",0.101,1,1,"No","No"
"Unemployment Rate","EPU","D3","X_to_Y","Linear_F",3.2135,0.0415,0.083,"Yes","Yes"
"Unemployment Rate","EPU","D3","Y_to_X","Linear_F",1.5749,0.2086,0.4316,"No","No"
"Unemployment Rate","EPU","D3","X_to_Y","NN_GC",0.0209,1,1,"No","No"
"Unemployment Rate","EPU","D3","Y_to_X","NN_GC",0.0055,1,1,"No","No"
"Unemployment Rate","EPU","D4","X_to_Y","Linear_F",0.6935,0.5006,0.5776,"No","No"
"Unemployment Rate","EPU","D4","Y_to_X","Linear_F",3.2583,0.0397,0.1134,"Yes","No"
"Unemployment Rate","EPU","D4","X_to_Y","NN_GC",0.0061,1,1,"No","No"
"Unemployment Rate","EPU","D4","Y_to_X","NN_GC",0.0285,1,1,"No","No"
"Unemployment Rate","EPU","D5","X_to_Y","Linear_F",2.5138,0.0826,0.1479,"Yes","No"
"Unemployment Rate","EPU","D5","Y_to_X","Linear_F",1.2663,0.2833,0.5178,"No","No"
"Unemployment Rate","EPU","D5","X_to_Y","NN_GC",0.3622,0.9894,1,"No","No"
"Unemployment Rate","EPU","D5","Y_to_X","NN_GC",0.2377,0.9991,1,"No","No"
"Unemployment Rate","EPU","D6","X_to_Y","Linear_F",1.3563,0.2591,0.3455,"No","No"
"Unemployment Rate","EPU","D6","Y_to_X","Linear_F",9.781,1e-04,0.0013,"Yes","Yes"
