"Endogenous","Exogenous","Scale","Direction","Test","Statistic","p_value","p_value_fdr","Significant_Original","Significant_FDR"
"Unemployment Rate","EPU","D1","X_to_Y","Linear_F",6.555,0.0016,0.0049,"Yes","Yes"
"Unemployment Rate","EPU","D1","Y_to_X","Linear_F",4.3581,0.0136,0.0495,"Yes","Yes"
"Unemployment Rate","EPU","D1","X_to_Y","NN_GC",2.8968,2e-04,0.0048,"Yes","Yes"
"Unemployment Rate","EPU","D1","Y_to_X","NN_GC",-0.032,1,1,"No","No"
"Unemployment Rate","EPU","D2","X_to_Y","Linear_F",3.292,0.0384,0.0743,"Yes","Yes"
"Unemployment Rate","EPU","D2","Y_to_X","Linear_F",0.3155,0.7297,0.8369,"No","No"
"Unemployment Rate","EPU","D2","X_to_Y","NN_GC",1.1173,0.3378,1,"No","No"
"Unemployment Rate","EPU","D2","Y_to_X","NN_GC",-0.0141,1,1,"No","No"
"Unemployment Rate","EPU","D3","X_to_Y","Linear_F",1.2202,0.2965,0.3745,"No","No"
"Unemployment Rate","EPU","D3","Y_to_X","Linear_F",2.0646,0.1286,0.2661,"No","No"
"Unemployment Rate","EPU","D3","X_to_Y","NN_GC",15.3383,0,0,"Yes","Yes"
"Unemployment Rate","EPU","D3","Y_to_X","NN_GC",-0.0013,1,1,"No","No"
"Unemployment Rate","EPU","D4","X_to_Y","Linear_F",0.1497,0.861,0.8831,"No","No"
"Unemployment Rate","EPU","D4","Y_to_X","Linear_F",10.6479,0,0,"Yes","Yes"
"Unemployment Rate","EPU","D4","X_to_Y","NN_GC",0.0522,1,1,"No","No"
"Unemployment Rate","EPU","D4","Y_to_X","NN_GC",0.0526,1,1,"No","No"
"Unemployment Rate","EPU","D5","X_to_Y","Linear_F",14.0079,0,0,"Yes","Yes"
"Unemployment Rate","EPU","D5","Y_to_X","Linear_F",5.6443,0.0039,0.0187,"Yes","Yes"
"Unemployment Rate","EPU","D5","X_to_Y","NN_GC",-0.0448,1,1,"No","No"
"Unemployment Rate","EPU","D5","Y_to_X","NN_GC",0.1874,0.9998,1,"No","No"
"Unemployment Rate","EPU","D6","X_to_Y","Linear_F",15.8882,0,0,"Yes","Yes"
"Unemployment Rate","EPU","D6","Y_to_X","Linear_F",2.2067,0.1117,0.2482,"No","No"
"Unemployment Rate","EPU","D6","X_to_Y","NN_GC",0.5849,0.8947,1,"No","No"
"Unemployment Rate","EPU","D6","Y_to_X","NN_GC",0.5834,0.8958,1,"No","No"
"Unemployment Rate","GPR","D1","X_to_Y","Linear_F",5.758,0.0035,0.0091,"Yes","Yes"
"Unemployment Rate","GPR","D1","Y_to_X","Linear_F",0.4608,0.6312,0.789,"No","No"
"Unemployment Rate","GPR","D1","X_to_Y","NN_GC",2.573,9e-04,0.018,"Yes","Yes"
"Unemployment Rate","GPR","D1","Y_to_X","NN_GC",0.6938,0.7999,1,"No","No"
"Unemployment Rate","GPR","D2","X_to_Y","Linear_F",1.3284,0.2664,0.3401,"No","No"
"Unemployment Rate","GPR","D2","Y_to_X","Linear_F",0.0233,0.9769,0.9769,"No","No"
"Unemployment Rate","GPR","D2","X_to_Y","NN_GC",0.9478,0.5147,1,"No","No"
"Unemployment Rate","GPR","D2","Y_to_X","NN_GC",1.4805,0.1053,1,"No","No"
"Unemployment Rate","GPR","D3","X_to_Y","Linear_F",0.1713,0.8427,0.8718,"No","No"
"Unemployment Rate","GPR","D3","Y_to_X","Linear_F",0.2393,0.7873,0.8435,"No","No"
"Unemployment Rate","GPR","D3","X_to_Y","NN_GC",13.2417,0,0,"Yes","Yes"
"Unemployment Rate","GPR","D3","Y_to_X","NN_GC",5.7597,0,0,"Yes","Yes"
"Unemployment Rate","GPR","D4","X_to_Y","Linear_F",4.2578,0.015,0.0333,"Yes","Yes"
"Unemployment Rate","GPR","D4","Y_to_X","Linear_F",4.1813,0.0161,0.0568,"Yes","Yes"
"Unemployment Rate","GPR","D4","X_to_Y","NN_GC",0.0297,1,1,"No","No"
"Unemployment Rate","GPR","D4","Y_to_X","NN_GC",0.3823,0.9858,1,"No","No"
"Unemployment Rate","GPR","D5","X_to_Y","Linear_F",0.6731,0.5109,0.5784,"No","No"
"Unemployment Rate","GPR","D5","Y_to_X","Linear_F",1.5441,0.2151,0.3853,"No","No"
"Unemployment Rate","GPR","D5","X_to_Y","NN_GC",-0.0523,1,1,"No","No"
"Unemployment Rate","GPR","D5","Y_to_X","NN_GC",0.0905,1,1,"No","No"
"Unemployment Rate","GPR","D6","X_to_Y","Linear_F",2.226,0.1096,0.1665,"No","No"
"Unemployment Rate","GPR","D6","Y_to_X","Linear_F",3.5416,0.0301,0.086,"Yes","Yes"
