Date,Unemploymentrate,RealbroadEER,ShorttermIR,OilpriceGlobalWTI,CPIinflationrate,logEPU,GPRC,USEMV,USMPU
1995-01-01,10.5,98.38,7.84,17.98,0.58,2.28840574,0.14,22.64,185.2
1995-02-01,10.3,99.06,8.12,18.54,1.87,2.101918834,0.13,22.3,166.74
1995-03-01,10.6,97.82,8.31,18.54,2.11,2.211440936,0.18,18.01,96.3
1995-04-01,10,98.8,8.15,19.76,2.46,2.109105864,0.19,15.85,49.73
1995-05-01,9.6,100.04,7.56,19.69,2.93,1.983084773,0.24,13.42,39.37
1995-06-01,9.1,98.53,7.05,18.42,2.69,2.009323393,0.41,15.66,120.16
1995-07-01,9.9,100,6.67,17.32,2.57,2.037784942,0.2,18.81,88.65
1995-08-01,9.5,100.89,6.59,18.03,2.21,1.799547307,0.15,13.36,35.92
1995-09-01,8.3,101.6,6.69,18.22,2.21,2.132387781,0.12,12.82,32.48
1995-10-01,8.5,101.41,6.7,17.44,2.33,2.382251246,0.08,17.1,42.07
1995-11-01,8.8,101.56,6.01,17.98,2.09,2.381962978,0.14,16.37,93.94
1995-12-01,9,100.26,5.9,19.05,1.74,2.282803314,0.13,18.06,176.52
1996-01-01,10.3,100.31,5.55,18.9,1.62,2.328277644,0.13,22.33,138.47
1996-02-01,10.2,99.4,5.22,19.08,1.26,2.033383541,0.15,18.14,57.52
1996-03-01,10.3,100.17,5.21,21.33,1.49,2.307324854,0.14,22.85,68.22
1996-04-01,9.7,100.52,5.01,23.53,1.37,2.072176344,0.09,15.33,29.41
1996-05-01,9.3,99.93,4.81,21.27,1.48,2.086857916,0.12,17.04,57.69
1996-06-01,9.4,100.26,4.85,20.44,1.48,2.072102779,0.15,18.38,71.41
1996-07-01,9.8,99.79,4.73,21.31,1.25,2.013047996,0.16,24.74,92.13
1996-08-01,9.3,99.13,4.27,21.93,1.48,2.100094715,0.15,16.77,42.34
1996-09-01,9,99.27,4.08,23.91,1.48,1.988291342,0.15,15.08,68.95
1996-10-01,9.2,100.8,3.52,24.9,1.82,2.267148252,0.11,17.37,45.36
1996-11-01,9.5,101.92,3.02,23.71,1.93,2.135132651,0.21,17.12,31.46
1996-12-01,9.3,100.32,3.12,25.52,2.16,1.974741905,0.23,20.9,60.65
1997-01-01,10.3,101.54,3.15,25.2,2.16,2.007064656,0.15,21.05,53.13
1997-02-01,10.3,101.73,3.12,22.22,2.27,1.902709813,0.14,19.48,19.42
1997-03-01,10,100.64,3.22,20.97,1.92,2.106530854,0.15,22.96,60.96
1997-04-01,9.8,98.86,3.46,19.72,1.69,1.820792381,0.16,23.86,65.53
1997-05-01,9.5,99.63,3.32,20.85,1.46,2.036708722,0.08,17.66,75.04
1997-06-01,8.8,99.24,3.27,19.16,1.69,1.865340906,0.07,20.72,54.08
1997-07-01,9.1,100.1,3.53,19.63,1.69,1.64384731,0.13,20.17,24.05
1997-08-01,8.8,99.7,3.64,19.93,1.8,1.787389621,0.1,20.95,75.88
1997-09-01,8.1,99.65,3.63,19.78,1.68,1.744918542,0.09,19.09,16.57
1997-10-01,8.2,99.57,3.8,21.26,1.46,1.838786145,0.17,32.7,80.45
1997-11-01,8.5,98.04,3.99,20.07,0.89,1.92319219,0.16,28.99,53.72
1997-12-01,8,98.19,4.57,18.31,0.78,1.930745328,0.11,25.81,59.1
1998-01-01,9.5,98.44,4.65,16.75,1.11,2.07889162,0.13,32.16,120.8
1998-02-01,9.2,98.21,4.98,16.06,1,2.078674273,0.13,20.03,137.39
1998-03-01,9,99.32,4.87,15.02,1,1.945567053,0.1,17.94,54.35
1998-04-01,8.6,97.99,4.9,15.25,0.89,1.898505786,0.13,22.26,56.66
1998-05-01,8.4,97.25,5.02,14.85,1.11,2.033142177,0.29,22.99,60.92
1998-06-01,8,96.54,5.02,13.66,0.99,2.012795058,0.14,24.2,58.82
1998-07-01,8.4,95.2,5.05,14.1,0.99,2.051384084,0.1,27.64,83.2
1998-08-01,8,92.47,5.31,13.36,0.88,2.227037845,0.14,39.75,146.1
1998-09-01,7.5,92.1,5.6,14.93,0.66,2.154515266,0.1,50.15,239.21
1998-10-01,7.4,89.95,5.28,14.39,1.1,2.290591043,0.11,43.79,157.48
1998-11-01,7.7,90.16,5.15,12.78,1.22,2.183782151,0.13,34.86,148.75
1998-12-01,7.7,89.49,5,11.27,1,2.052847783,0.11,25.64,87.63
1999-01-01,8.6,90.82,5,12.44,0.66,2.007278247,0.15,34.02,109.78
1999-02-01,8.5,92.66,5.03,12,0.66,1.829753919,0.15,21.44,37.16
1999-03-01,8.4,92.02,5.06,14.66,0.99,1.478566496,0.2,22.88,49.22
1999-04-01,8.6,93.62,4.72,17.31,1.65,1.654369091,0.25,21.43,34.73
1999-05-01,8.1,95.73,4.62,17.74,1.53,1.759818877,0.14,19.48,30.15
1999-06-01,7.2,95.6,4.82,17.89,1.64,1.826334006,0.2,20.6,58.5
1999-07-01,7.8,94.4,4.79,20.05,1.86,1.816108671,0.11,23.39,89.2
1999-08-01,7.6,93.56,4.92,21.26,2.08,1.490800952,0.13,26.13,77.39
1999-09-01,6.8,94.2,4.83,23.8,2.63,1.794557751,0.19,22.1,64.49
1999-10-01,6.6,94.02,5.01,22.59,2.29,1.650307523,0.2,25.32,64.18
