Date,Unemploymentrate,RealbroadEER,ShorttermIR,OilpriceGlobalWTI,CPIinflationrate,logEPU,GPRC,USEMV,USMPU
1995-01-01,12.4,114.8,5.92,17.98,1.72,2.178170885,0.5,22.64,185.2
1995-02-01,12.2,115.05,5.82,18.54,1.74,1.930082633,0.36,22.3,166.74
1995-03-01,12,116.99,8.06,18.54,1.82,2.094191525,0.43,18.01,96.3
1995-04-01,11.7,118.06,7.78,19.76,1.67,1.968436248,0.43,15.85,49.73
1995-05-01,11.5,115.37,7.47,19.69,1.59,1.959089114,0.68,13.42,39.37
1995-06-01,11.3,116.02,7.2,18.42,1.64,1.790073948,0.91,15.66,120.16
1995-07-01,11.3,117.05,6.46,17.32,1.46,1.779812863,1.04,18.81,88.65
1995-08-01,11.4,116.99,5.94,18.03,1.96,1.772028165,0.63,13.36,35.92
1995-09-01,11.7,116.55,5.96,18.22,2.01,2.089339808,0.62,12.82,32.48
1995-10-01,12.3,116.8,6.87,17.44,1.9,2.125351121,0.51,17.1,42.07
1995-11-01,12.7,118.15,5.89,17.98,1.96,1.970718704,0.54,16.37,93.94
1995-12-01,12.9,117.4,5.56,19.05,2.09,2.108767918,0.49,18.06,176.52
1996-01-01,12.9,116.99,4.7,18.9,1.95,1.710286648,0.32,22.33,138.47
1996-02-01,12.8,116.31,4.41,19.08,2.02,1.991624735,0.39,18.14,57.52
1996-03-01,12.6,116.64,4.27,21.33,2.36,1.864511081,0.23,22.85,68.22
1996-04-01,12.2,116.35,4,23.53,2.36,1.920905604,0.32,15.33,29.41
1996-05-01,12,115.62,3.9,21.27,2.42,1.727459921,0.28,17.04,57.69
1996-06-01,11.8,115.41,3.97,20.44,2.3,1.919391927,0.37,18.38,71.41
1996-07-01,11.7,115.99,3.84,21.31,2.31,1.911530462,0.48,24.74,92.13
1996-08-01,11.8,115.3,3.96,21.93,1.62,1.656385719,0.4,16.77,42.34
1996-09-01,12.1,114.74,3.75,23.91,1.56,1.911370707,0.56,15.08,68.95
1996-10-01,12.7,114.8,3.51,24.9,1.72,1.967875446,0.23,17.37,45.36
1996-11-01,13,114.62,3.47,23.71,1.54,1.884795364,0.33,17.12,31.46
