Date,Unemploymentrate,RealbroadEER,ShorttermIR,OilpriceGlobalWTI,CPIinflationrate,logEPU,GPRC,USEMV,USMPU
1995-01-01,8.5,121.5,5.16,17.98,2.3,2.029627239,0.38,22.64,185.2
1995-02-01,8.6,123.03,5.1,18.54,2.03,2.124373786,0.31,22.3,166.74
1995-03-01,8.6,127.17,5.07,18.54,1.9,1.994581081,0.45,18.01,96.3
1995-04-01,8.2,126.9,4.68,19.76,1.9,1.892984551,0.31,15.85,49.73
1995-05-01,8,124.81,4.59,19.69,1.64,1.761025252,0.44,13.42,39.37
1995-06-01,8.1,124.52,4.53,18.42,1.64,1.902438056,0.33,15.66,120.16
1995-07-01,8.1,125.2,4.56,17.32,1.64,1.767081621,0.41,18.81,88.65
1995-08-01,8.2,122.81,4.46,18.03,1.38,1.910357557,0.48,13.36,35.92
1995-09-01,8,122.08,4.19,18.22,1.64,1.935809454,0.29,12.82,32.48
1995-10-01,8,123.62,4.09,17.44,1.51,1.879669206,0.25,17.1,42.07
1995-11-01,8.2,123.22,4.01,17.98,1.39,1.874771637,0.3,16.37,93.94
1995-12-01,8.5,122.61,3.94,19.05,1.51,1.769081787,0.25,18.06,176.52
1996-01-01,8.8,121.5,3.61,18.9,1.38,1.886265059,0.23,22.33,138.47
1996-02-01,9.1,121.71,3.35,19.08,1.49,2.089940418,0.31,18.14,57.52
1996-03-01,9.2,120.5,3.36,21.33,1.49,2.13481437,0.22,22.85,68.22
1996-04-01,8.8,118.7,3.33,23.53,1.37,1.840607879,0.18,15.33,29.41
1996-05-01,8.7,117.49,3.29,21.27,1.49,2.106190897,0.22,17.04,57.69
1996-06-01,8.9,117.87,3.39,20.44,1.49,2.018159374,0.23,18.38,71.41
1996-07-01,8.8,118.89,3.38,21.31,1.36,2.0011277,0.18,24.74,92.13
1996-08-01,9,119.59,3.29,21.93,1.36,1.725258066,0.2,16.77,42.34
1996-09-01,8.8,118.15,3.12,23.91,1.36,1.909235003,0.29,15.08,68.95
1996-10-01,8.8,116.87,3.12,24.9,1.61,1.90314427,0.13,17.37,45.36
1996-11-01,9,116.89,3.19,23.71,1.49,2.000737674,0.12,17.12,31.46
1996-12-01,9.4,115.97,3.23,25.52,1.49,1.905687968,0.22,20.9,60.65
1997-01-01,9.8,115.22,3.14,25.2,2.1,1.937918903,0.12,21.05,53.13
1997-02-01,10.1,113.75,3.19,22.22,1.6,1.750508395,0.15,19.48,19.42
1997-03-01,10.2,113.28,3.26,20.97,1.6,1.672559628,0.2,22.96,60.96
1997-04-01,9.9,112.23,3.23,19.72,1.47,2.006765452,0.23,23.86,65.53
1997-05-01,9.6,112.31,3.17,20.85,1.59,1.884851983,0.17,17.66,75.04
1997-06-01,9.7,111.24,3.14,19.16,1.59,2.002856926,0.12,20.72,54.08
1997-07-01,9.6,110.58,3.14,19.63,2.32,1.840419778,0.12,20.17,24.05
1997-08-01,9.6,109.92,3.26,19.93,2.44,2.072580733,0.1,20.95,75.88
1997-09-01,9.3,110.95,3.31,19.78,2.2,1.806247827,0.08,19.09,16.57
1997-10-01,9.2,111.59,3.58,21.26,2.08,1.86231031,0.09,32.7,80.45
1997-11-01,9.4,112.42,3.74,20.07,2.2,1.836893516,0.13,28.99,53.72
1997-12-01,9.7,112.95,3.74,18.31,2.07,1.948804046,0.15,25.81,59.1
1998-01-01,10,112.85,3.57,16.75,1.21,1.692494408,0.13,32.16,120.8
1998-02-01,10.2,112.09,3.51,16.06,1.33,1.511482289,0.23,20.03,137.39
1998-03-01,10.3,111.11,3.52,15.02,1.21,1.902002891,0.24,17.94,54.35
1998-04-01,9.8,111.26,3.63,15.25,1.45,1.624075731,0.17,22.26,56.66
1998-05-01,9.5,112.75,3.63,14.85,1.33,2.015401674,0.36,22.99,60.92
1998-06-01,9.5,113.17,3.56,13.66,1.33,1.866936818,0.29,24.2,58.82
1998-07-01,9.3,113.59,3.54,14.1,0.84,2.015904378,0.16,27.64,83.2
1998-08-01,9.3,114.11,3.5,13.36,0.48,1.943890048,0.27,39.75,146.1
1998-09-01,8.9,115.5,3.49,14.93,0.48,2.191618663,0.16,50.15,239.21
1998-10-01,8.7,115.78,3.57,14.39,0.48,1.890476909,0.27,43.79,157.48
1998-11-01,8.9,114.37,3.63,12.78,0.48,2.104008851,0.2,34.86,148.75
1998-12-01,9,114.81,3.38,11.27,0.36,2.105203516,0.23,25.64,87.63
1999-01-01,9.3,114.19,3.13,12.44,0.24,2.046339056,0.19,34.02,109.78
1999-02-01,9.4,113.21,3.09,12,0.12,2.020609853,0.29,21.44,37.16
1999-03-01,9.4,112.05,3.05,14.66,0.24,1.817102404,0.38,22.88,49.22
1999-04-01,8.9,111.38,2.7,17.31,0.6,1.979229593,0.61,21.43,34.73
1999-05-01,8.6,110.87,2.58,17.74,0.48,1.943692327,0.53,19.48,30.15
1999-06-01,8.6,109.85,2.63,17.89,0.48,2.120508124,0.51,20.6,58.5
1999-07-01,8.4,110.11,2.68,20.05,0.59,2.009535877,0.15,23.39,89.2
1999-08-01,8.4,110.65,2.7,21.26,0.71,2.072543986,0.15,26.13,77.39
1999-09-01,8.1,109.16,2.73,23.8,0.71,2.027512692,0.21,22.1,64.49
1999-10-01,8,109.44,3.38,22.59,0.72,2.017617573,0.27,25.32,64.18
1999-11-01,8.1,108.11,3.47,25.08,0.95,2.14578667,0.19,19.45,56.33
1999-12-01,8.3,106.91,3.45,26.04,1.19,1.716754357,0.27,17.24,115.69
2000-01-01,8.5,107.02,3.34,27.22,1.55,1.864689034,0.11,24.41,47.47
2000-02-01,8.7,105.65,3.54,29.36,1.55,1.988380565,0.17,19.91,53.64
2000-03-01,8.6,104.3,3.75,29.89,1.55,1.982678193,0.15,26.1,49.18
2000-04-01,8.2,103.32,3.93,25.8,1.07,1.84167225,0.13,43.43,86.93
2000-05-01,7.9,102.05,4.36,28.83,0.95,2.131265697,0.22,34.31,95.24
2000-06-01,8,103.99,4.5,31.86,1.3,1.765594055,0.16,24.22,88.46
2000-07-01,7.8,104.08,4.58,29.98,1.3,1.876448787,0.15,20.33,43.26
2000-08-01,7.9,102.11,4.78,31.22,1.18,1.881156321,0.13,18.05,55.6
2000-09-01,7.6,100.56,4.85,33.86,1.65,1.83486558,0.15,18.6,82.07
2000-10-01,7.5,99.62,5.04,33.08,1.66,1.925002508,0.17,28.47,70.28
2000-11-01,7.6,99.79,5.09,34.56,1.53,1.95966137,0.1,30.65,227.22
2000-12-01,7.8,102.53,4.94,28.39,2,1.963268252,0.1,34.11,210.67
2001-01-01,8.1,104.16,4.77,29.48,1.41,2.038739348,0.09,28.86,166.24
2001-02-01,8.2,103.87,4.76,29.58,1.88,2.128302317,0.15,20.95,171.64
2001-03-01,8.2,103.65,4.71,27.24,1.88,2.257270482,0.17,31.15,133.97
2001-04-01,7.8,103.13,4.68,27.45,2.34,1.964165311,0.12,27.16,155.79
2001-05-01,7.6,101.89,4.64,28.61,2.82,1.869114327,0.19,22.15,114.27
2001-06-01,7.8,100.99,4.45,27.6,2.45,1.843793198,0.23,17.06,61.84
2001-07-01,7.7,101.98,4.47,26.44,2.09,2.028083007,0.24,22.32,89.46
2001-08-01,7.8,103.37,4.35,27.47,2.1,1.945862324,0.17,19.97,90.25
2001-09-01,7.6,103.49,3.98,26.21,1.86,2.39499421,1.55,42.43,407.94
2001-10-01,7.6,103.25,3.6,22.21,1.86,2.442040549,1.21,29.34,337.92
2001-11-01,7.8,101.99,3.39,19.58,1.51,2.249809609,0.85,26.4,197.34
2001-12-01,8.1,103.28,3.34,19.32,1.61,2.033906037,0.52,24.36,96.79
2002-01-01,8.5,102.49,3.34,19.61,2.08,1.97991241,0.37,28.65,137.56
2002-02-01,8.7,102.13,3.36,20.78,1.84,1.936915681,0.36,24.85,60
2002-03-01,8.8,102.13,3.39,24.51,2.07,1.863857962,0.37,17.77,103.15
2002-04-01,8.5,101.64,3.41,26.27,1.49,2.029221394,0.38,20.09,57.96
2002-05-01,8.4,102.85,3.47,27,1.26,1.905472062,0.43,18.92,103.3
2002-06-01,8.6,104.54,3.46,25.52,1.14,2.080770747,0.39,24.8,68.22
2002-07-01,8.6,106.04,3.41,26.93,1.14,2.094575934,0.28,51.59,114.26
2002-08-01,8.7,105.43,3.35,28.38,1.26,2.030316306,0.32,39.48,131.14
2002-09-01,8.6,105.16,3.31,29.63,1.26,2.062732363,0.59,31.97,178.3
2002-10-01,8.6,104.97,3.26,28.85,1.26,1.983851719,0.41,31.46,120.58
2002-11-01,8.9,104.81,3.12,26.32,1.15,2.013847996,0.44,23.59,206.87
2002-12-01,9.3,106.22,2.94,29.55,1.14,2.108023509,0.48,24.48,165.02
2003-01-01,9.8,107.34,2.83,32.91,1.02,1.924950889,0.83,26.34,171.76
2003-02-01,10.1,108.34,2.69,35.92,1.24,2.363442741,1.29,22.73,283.8
2003-03-01,10.3,108.26,2.53,33.22,1.13,2.361841115,1.59,30.03,300.75
2003-04-01,9.9,107.92,2.53,28.36,0.9,2.1926232,0.98,25.45,155.59
2003-05-01,9.8,109.77,2.4,28.22,0.56,2.080770747,0.51,20.71,121.92
2003-06-01,9.9,110.61,2.15,30.72,0.9,1.89580915,0.41,20.11,67.79
2003-07-01,9.8,110,2.13,30.75,1.01,1.773347542,0.23,20.69,51.75
2003-08-01,9.8,109.02,2.14,31.59,1.13,1.777354313,0.33,17.65,84.2
2003-09-01,9.5,108.55,2.15,28.45,1.01,1.951628894,0.46,15.38,53.84
2003-10-01,9.4,109.6,2.14,30.33,1.13,1.940167714,0.4,14.85,33.86
2003-11-01,9.6,109.22,2.16,30.96,1.25,2.026492407,0.45,12.08,30.29
2003-12-01,9.8,111.7,2.15,32.2,1.12,1.789369154,0.38,15,60.48
2004-01-01,10.2,112.1,2.09,34.15,1.12,1.77437096,0.27,16.86,94.51
2004-02-01,10.5,112.06,2.07,34.72,0.78,1.923917223,0.3,12.73,53.07
2004-03-01,10.7,110.82,2.03,36.76,1,2.069446084,0.59,15.04,38.92
2004-04-01,10.4,109.65,2.05,36.72,1.68,2.020692679,0.41,16.65,57.16
2004-05-01,10.2,110.18,2.09,40.27,2.13,2.103085002,0.3,16.62,92.68
2004-06-01,10.4,110.09,2.11,38.04,1.79,2.02031984,0.53,14.78,114.74
2004-07-01,10.4,110.49,2.12,40.69,1.78,1.75709222,0.22,17.49,73.35
2004-08-01,10.6,110.31,2.11,44.94,1.9,1.782759193,0.29,15.69,95.12
2004-09-01,10.4,109.92,2.12,45.86,1.79,1.815976001,0.39,14.3,71.32
2004-10-01,10.4,110.25,2.15,53.17,1.9,2.064383104,0.31,15.52,107.7
2004-11-01,10.7,110.79,2.17,48.53,1.9,1.833274639,0.56,13.93,78.58
2004-12-01,11.1,112.72,2.17,43.28,2.22,1.740046724,0.36,17.01,28.59
2005-01-01,11.6,110.9,2.15,46.99,1.44,1.684665864,0.28,17.35,77.83
2005-02-01,12,110.14,2.14,47.99,1.66,1.725584972,0.53,13.99,31.34
2005-03-01,12.2,110.75,2.14,54.09,1.77,1.609274172,0.28,14.57,42.25
2005-04-01,11.1,109.54,2.14,53.04,1.21,1.539076099,0.24,18.87,68.84
2005-05-01,11.6,108.95,2.13,49.92,1.21,1.822168079,0.38,16.54,60.59
2005-06-01,11.2,107.42,2.11,56.31,1.32,1.977906428,0.26,16.72,61.41
2005-07-01,10.8,107.86,2.12,58.71,1.53,1.905039928,0.41,13.62,56.61
2005-08-01,11.4,108.05,2.13,64.97,1.53,1.835817354,0.42,17.18,42.41
2005-09-01,11.1,107.35,2.14,65.66,1.86,2.306553688,0.38,15.09,126.87
2005-10-01,11.1,106.81,2.2,62.37,1.86,1.919966701,0.24,15.21,80.46
2005-11-01,10.5,106.12,2.36,58.31,1.76,2.146345129,0.25,13.51,32.47
2005-12-01,10.8,106.82,2.47,59.37,1.41,1.803593665,0.33,14.16,78.74
2006-01-01,11.5,106.49,2.51,65.23,1.86,1.945074488,0.52,17.61,62.22
2006-02-01,11.1,106.07,2.6,61.54,1.85,1.881897974,0.36,12.64,60.37
2006-03-01,11.3,106.32,2.72,62.9,1.41,1.974097004,0.27,13.72,46.38
2006-04-01,10.6,106.79,2.79,69.67,1.96,1.898341166,0.27,14.36,57.94
2006-05-01,9.8,107.46,2.89,70.96,1.74,1.853028615,0.4,17.61,95.87
2006-06-01,10.2,108.11,2.99,70.96,1.84,2.024649831,0.37,17.38,91.22
