Date,Unemploymentrate,RealbroadEER,ShorttermIR,OilpriceGlobalWTI,CPIinflationrate,logEPU,GPRC,USEMV,USMPU
1995-01-01,10.9,97.79,9.13,17.98,3.93,2.11058971,0.09,22.64,185.2
1995-02-01,11.8,96.44,9.09,18.54,4.24,2.122543524,0.11,22.3,166.74
1995-03-01,11.9,89.29,11.01,18.54,4.9,2.060584531,0.12,18.01,96.3
1995-04-01,11.6,86.42,10.96,19.76,5.14,1.95201709,0.06,15.85,49.73
1995-05-01,10.9,91.01,10.45,19.69,5.19,1.858356705,0.1,13.42,39.37
1995-06-01,11.2,91.52,10.95,18.42,5.67,1.9160853,0.14,15.66,120.16
1995-07-01,11.8,92.77,10.96,17.32,5.58,1.809290301,0.12,18.81,88.65
1995-08-01,10.7,95.65,10.47,18.03,5.73,1.918868743,0.08,13.36,35.92
1995-09-01,10,96.02,10.4,18.22,5.63,2.018367578,0.15,12.82,32.48
1995-10-01,11.4,94.98,10.77,17.44,5.52,1.993920959,0.05,17.1,42.07
1995-11-01,11.1,96.18,10.68,17.98,5.66,1.939668984,0.1,16.37,93.94
1995-12-01,10.9,97.39,10.61,19.05,5.57,1.920384242,0.14,18.06,176.52
1996-01-01,10.6,98.89,10.07,18.9,5.58,1.887729797,0.06,22.33,138.47
1996-02-01,11.5,99.97,9.93,19.08,5.23,2.106462884,0.15,18.14,57.52
1996-03-01,11.8,101.01,9.85,21.33,4.72,2.120639728,0.1,22.85,68.22
1996-04-01,11.7,101.95,9.62,23.53,4.71,1.901022173,0.09,15.33,29.41
1996-05-01,11.1,103.83,8.92,21.27,4.46,2.077295214,0.04,17.04,57.69
1996-06-01,11.4,104.89,8.77,20.44,4.01,2.034628457,0.1,18.38,71.41
1996-07-01,11.8,104.82,8.75,21.31,3.75,2.019490163,0.08,24.74,92.13
1996-08-01,10.6,104.63,8.81,21.93,3.52,1.748110467,0.06,16.77,42.34
1996-09-01,9.9,105.11,8.44,23.91,3.38,1.94875518,0.07,15.08,68.95
1996-10-01,11.4,105.45,8.02,24.9,3.08,1.959184543,0.03,17.37,45.36
1996-11-01,11.2,105.68,7.41,23.71,2.92,2.013679697,0.09,17.12,31.46
1996-12-01,11,106.44,7.25,25.52,2.86,1.937517892,0.08,20.9,60.65
1997-01-01,10.7,106.19,7.23,25.2,2.73,2.078057867,0.05,21.05,53.13
1997-02-01,11.7,103.76,7.36,22.22,2.43,2.099369826,0.06,19.48,19.42
1997-03-01,12,102.33,7.43,20.97,2.32,2.077004327,0.16,22.96,60.96
1997-04-01,11.9,102.59,7.13,19.72,2.03,2.122969094,0.17,23.86,65.53
1997-05-01,11.2,102.9,6.83,20.85,1.92,2.043244354,0.08,17.66,75.04
1997-06-01,11.4,102.8,6.88,19.16,1.73,2.10961229,0.09,20.72,54.08
1997-07-01,11.6,102.08,6.89,19.63,1.82,1.905472062,0.05,20.17,24.05
1997-08-01,10.4,101.24,6.87,19.93,1.82,1.997604787,0.04,20.95,75.88
1997-09-01,9.8,102.36,6.67,19.78,1.82,1.981456167,0.04,19.09,16.57
1997-10-01,11.5,102.85,6.65,21.26,2.01,2.020899673,0.05,32.7,80.45
1997-11-01,11.3,103.82,6.49,20.07,2,1.933082162,0.03,28.99,53.72
1997-12-01,11.1,103.75,6.08,18.31,1.9,1.960993709,0.06,25.81,59.1
1998-01-01,10.6,103.55,6.09,16.75,1.9,1.878464345,0.09,32.16,120.8
1998-02-01,11.6,102.89,6.13,16.06,2.09,1.857392811,0.1,20.03,137.39
1998-03-01,11.8,102.86,5.62,15.02,2.08,2.035069344,0.2,17.94,54.35
1998-04-01,11.9,102.64,5.23,15.25,2.08,1.937517892,0.16,22.26,56.66
1998-05-01,11.3,104.08,5.11,14.85,1.98,2.001906704,0.15,22.99,60.92
1998-06-01,11.6,104.35,5.12,13.66,2.07,1.902438056,0.18,24.2,58.82
1998-07-01,11.9,104.19,4.88,14.1,2.07,2.022304623,0.07,27.64,83.2
1998-08-01,10.7,104.86,4.89,13.36,2.07,2.040285799,0.11,39.75,146.1
1998-09-01,10,106.29,4.97,14.93,1.98,2.304641298,0.05,50.15,239.21
1998-10-01,11.6,106.91,4.53,14.39,1.88,2.065654394,0.17,43.79,157.48
1998-11-01,11.4,106.02,3.95,12.78,1.59,2.124014879,0.09,34.86,148.75
1998-12-01,11.2,106.16,3.38,11.27,1.68,2.049256797,0.1,25.64,87.63
1999-01-01,10.7,106.1,3.13,12.44,1.49,2.05388479,0.15,34.02,109.78
1999-02-01,11.6,105.38,3.09,12,1.39,1.95264717,0.16,21.44,37.16
1999-03-01,11.7,104.65,3.05,14.66,1.3,1.963929422,0.28,22.88,49.22
1999-04-01,11.5,103.78,2.7,17.31,1.48,1.919287341,0.48,21.43,34.73
1999-05-01,10.9,103.57,2.58,17.74,1.48,1.914713287,0.32,19.48,30.15
1999-06-01,11.1,102.65,2.63,17.89,1.39,2.028489917,0.23,20.6,58.5
1999-07-01,11.5,102.81,2.68,20.05,1.66,2.015233976,0.09,23.39,89.2
1999-08-01,10.3,103.39,2.7,21.26,1.66,1.889077493,0.09,26.13,77.39
1999-09-01,9.6,102.66,2.73,23.8,1.85,1.910037124,0.1,22.1,64.49
1999-10-01,10.8,103.43,3.38,22.59,2.03,1.95206559,0.09,25.32,64.18
1999-11-01,10.4,102.25,3.47,25.08,2.12,2.012499778,0.05,19.45,56.33
1999-12-01,10.3,101.11,3.45,26.04,2.11,1.814114356,0.16,17.24,115.69
2000-01-01,10.2,101.1,3.34,27.22,2.2,1.715585552,0.05,24.41,47.47
