Date,Unemploymentrate,RealbroadEER,ShorttermIR,OilpriceGlobalWTI,CPIinflationrate,logEPU,GPRC,USEMV,USMPU
1995-01-01,3,169.61,2.25,17.98,0.63,1.837272703,0.16,22.64,185.2
1995-02-01,3.1,170.38,2.22,18.54,0.31,1.917137753,0.17,22.3,166.74
1995-03-01,3.3,182,1.75,18.54,-0.31,2.086039331,0.32,18.01,96.3
1995-04-01,3.2,193.97,1.31,19.76,-0.21,1.946550511,0.29,15.85,49.73
1995-05-01,3.1,191.35,1.32,19.69,-0.1,2.048014291,0.4,13.42,39.37
1995-06-01,3,191.26,1.27,18.42,0.21,2.033061693,0.32,15.66,120.16
1995-07-01,3,184.04,0.84,17.32,0.21,2.024854948,0.16,18.81,88.65
1995-08-01,3.2,170.97,0.86,18.03,-0.21,2.010681493,0.19,13.36,35.92
1995-09-01,3.2,161.88,0.53,18.22,0.1,1.994800899,0.14,12.82,32.48
1995-10-01,3.2,159.48,0.47,17.44,-0.62,1.961895474,0.13,17.1,42.07
1995-11-01,3.3,157.46,0.47,17.98,-0.62,1.917400468,0.14,16.37,93.94
1995-12-01,3.2,158.02,0.46,19.05,-0.42,1.923554858,0.12,18.06,176.52
1996-01-01,3.5,151.68,0.49,18.9,-0.52,1.988246723,0.11,22.33,138.47
1996-02-01,3.4,150.54,0.46,19.08,-0.42,2.007021926,0.13,18.14,57.52
1996-03-01,3.5,150.03,0.49,21.33,-0.1,1.975431809,0.21,22.85,68.22
1996-04-01,3.5,148.45,0.5,23.53,0.21,1.962416693,0.23,15.33,29.41
1996-05-01,3.5,150.17,0.49,21.27,0.21,1.846769954,0.12,17.04,57.69
1996-06-01,3.3,146.29,0.47,20.44,0,1.897791982,0.18,18.38,71.41
1996-07-01,3.2,145.44,0.5,21.31,0.42,1.828466547,0.14,24.74,92.13
1996-08-01,3.3,146.15,0.47,21.93,0.21,1.824841472,0.05,16.77,42.34
1996-09-01,3.3,143.81,0.52,23.91,0,1.941014244,0.17,15.08,68.95
1996-10-01,3.4,141.04,0.49,24.9,0.52,1.916453949,0.1,17.37,45.36
1996-11-01,3.2,139.92,0.48,23.71,0.52,1.95927995,0.09,17.12,31.46
1996-12-01,3.1,138.72,0.44,25.52,0.63,1.852296966,0.39,20.9,60.65
1997-01-01,3.3,134.34,0.48,25.2,0.63,1.995328009,0.28,21.05,53.13
1997-02-01,3.5,129.37,0.47,22.22,0.63,1.95927995,0.23,19.48,19.42
1997-03-01,3.5,130.53,0.72,20.97,0.52,1.942652812,0.16,22.96,60.96
1997-04-01,3.4,129.86,0.53,19.72,1.87,1.936212044,0.32,23.86,65.53
1997-05-01,3.5,137.5,0.5,20.85,1.87,1.948070482,0.12,17.66,75.04
1997-06-01,3.3,142.7,0.52,19.16,2.19,1.949097125,0.08,20.72,54.08
1997-07-01,3.3,143.14,0.5,19.63,1.88,1.955735842,0.15,20.17,24.05
1997-08-01,3.4,141.96,0.51,19.93,2.09,2.03530964,0.1,20.95,75.88
1997-09-01,3.5,139.71,0.65,19.78,2.39,2.108598846,0.09,19.09,16.57
1997-10-01,3.5,140.99,0.48,21.26,2.49,2.131105162,0.12,32.7,80.45
1997-11-01,3.4,136.38,0.39,20.07,2.08,2.33669983,0.09,28.99,53.72
1997-12-01,3.2,137.71,0.47,18.31,1.77,2.374216605,0.09,25.81,59.1
1998-01-01,3.6,142.75,0.48,16.75,1.77,2.325638792,0.06,32.16,120.8
1998-02-01,3.7,143.57,0.47,16.06,1.88,2.206906793,0.11,20.03,137.39
1998-03-01,4.1,138.73,0.7,15.02,2.19,2.268882059,0.08,17.94,54.35
1998-04-01,4.3,134.02,0.46,15.25,0.41,2.259593879,0.07,22.26,56.66
1998-05-01,4.3,132.12,0.47,14.85,0.51,2.256092065,0.45,22.99,60.92
1998-06-01,4.1,128.71,0.34,13.66,0.1,2.257222446,0.22,24.2,58.82
1998-07-01,3.9,127.33,0.46,14.1,-0.1,2.332579835,0.12,27.64,83.2
1998-08-01,4.3,123.75,0.45,13.36,-0.31,2.354550196,0.19,39.75,146.1
1998-09-01,4.3,132.15,0.47,14.93,-0.2,2.274388796,0.2,50.15,239.21
1998-10-01,4.3,145.16,0.33,14.39,0.2,2.318751814,0.09,43.79,157.48
1998-11-01,4.3,145.03,0.3,12.78,0.81,2.127590677,0.16,34.86,148.75
1998-12-01,4.1,147.76,0.32,11.27,0.61,2.104316365,0.14,25.64,87.63
1999-01-01,4.5,152.38,0.24,12.44,0.2,2.06907581,0.09,34.02,109.78
1999-02-01,4.7,148.27,0.1,12,-0.1,2.060886623,0.16,21.44,37.16
1999-03-01,5,146.33,0.05,14.66,-0.41,2.014814449,0.18,22.88,49.22
1999-04-01,5,146.37,0.03,17.31,-0.1,1.986771734,0.13,21.43,34.73
1999-05-01,4.9,143.32,0.03,17.74,-0.41,2.098262902,0.15,19.48,30.15
1999-06-01,4.8,144.92,0.03,17.89,-0.31,1.99343623,0.15,20.6,58.5
1999-07-01,4.7,145.88,0.03,20.05,-0.1,1.980503318,0.15,23.39,89.2
1999-08-01,4.7,153.6,0.03,21.26,0.31,1.938519725,0.19,26.13,77.39
1999-09-01,4.6,163.05,0.05,23.8,-0.2,1.960518343,0.19,22.1,64.49
1999-10-01,4.6,163.66,0.02,22.59,-0.71,1.991359003,0.2,25.32,64.18
1999-11-01,4.4,165.44,0.02,25.08,-1.21,1.941312625,0.09,19.45,56.33
1999-12-01,4.3,168.5,0.05,26.04,-1.12,1.9526956,0.14,17.24,115.69
