Date,Unemploymentrate,RealbroadEER,ShorttermIR,OilpriceGlobalWTI,CPIinflationrate,logEPU,GPRC,USEMV,USMPU
1995-01-01,8.8,111.2,6.64,17.98,2.34,2.11058971,0.65,22.64,185.2
1995-02-01,9,109.99,6.8,18.54,2.34,2.122543524,0.5,22.3,166.74
1995-03-01,8.9,108.63,6.73,18.54,2.48,2.060584531,0.62,18.01,96.3
1995-04-01,8.6,107.21,6.74,19.76,2.31,1.95201709,0.66,15.85,49.73
1995-05-01,8.6,107.2,6.78,19.69,2.46,1.858356705,0.77,13.42,39.37
1995-06-01,8.8,106.81,6.71,18.42,2.61,1.9160853,0.99,15.66,120.16
1995-07-01,8.8,105.92,6.88,17.32,2.94,1.809290301,1.18,18.81,88.65
1995-08-01,8.9,107.1,6.88,18.03,2.76,1.918868743,0.84,13.36,35.92
1995-09-01,8.7,107.68,6.8,18.22,3.07,2.018367578,0.56,12.82,32.48
1995-10-01,8.5,106.99,6.82,17.44,3.07,1.993920959,0.48,17.1,42.07
1995-11-01,8.1,105.89,6.72,17.98,2.91,1.939668984,0.69,16.37,93.94
1995-12-01,8.2,105.82,6.55,19.05,3.05,1.920384242,0.49,18.06,176.52
1996-01-01,8.2,105.51,6.45,18.9,2.9,1.887729797,0.51,22.33,138.47
1996-02-01,8.3,106.23,6.25,19.08,3.04,2.106462884,0.7,18.14,57.52
1996-03-01,8.3,105.96,6.14,21.33,2.88,2.120639728,0.51,22.85,68.22
1996-04-01,8.1,106.17,6.08,23.53,2.86,1.901022173,0.5,15.33,29.41
1996-05-01,8.2,107.19,6.12,21.27,2.85,2.077295214,0.49,17.04,57.69
1996-06-01,8.2,109.09,5.93,20.44,2.84,2.034628457,0.71,18.38,71.41
1996-07-01,8.3,108.46,5.82,21.31,2.55,2.019490163,0.82,24.74,92.13
1996-08-01,8.3,107.81,5.84,21.93,2.69,1.748110467,0.73,16.77,42.34
1996-09-01,8.1,109.65,5.86,23.91,2.68,1.94875518,0.94,15.08,68.95
1996-10-01,7.9,112.03,6.02,24.9,2.98,1.959184543,0.47,17.37,45.36
1996-11-01,7.7,116.54,6.39,23.71,3.13,2.013679697,0.54,17.12,31.46
1996-12-01,7.5,118.53,6.43,25.52,2.81,1.937517892,0.81,20.9,60.65
1997-01-01,7.4,119.78,6.41,25.2,2.67,2.078057867,0.63,21.05,53.13
1997-02-01,7.4,120.76,6.29,22.22,2.36,2.099369826,0.57,19.48,19.42
1997-03-01,7.2,120.38,6.3,20.97,2.21,2.077004327,0.59,22.96,60.96
1997-04-01,7,122.95,6.45,19.72,2.05,2.122969094,0.71,23.86,65.53
1997-05-01,7.1,122.7,6.53,20.85,2.04,2.043244354,0.56,17.66,75.04
1997-06-01,7.4,124.3,6.66,19.16,2.04,2.10961229,0.49,20.72,54.08
1997-07-01,7.3,128.34,7.04,19.63,2.49,1.905472062,0.68,20.17,24.05
1997-08-01,7.1,126.33,7.24,19.93,2.33,1.997604787,0.53,20.95,75.88
1997-09-01,6.8,124.88,7.3,19.78,2.17,1.981456167,0.47,19.09,16.57
1997-10-01,6.6,126.21,7.36,21.26,2.17,2.020899673,0.64,32.7,80.45
1997-11-01,6.4,130.11,7.63,20.07,2.02,1.933082162,0.79,28.99,53.72
1997-12-01,6.2,131.89,7.72,18.31,1.87,1.960993709,0.52,25.81,59.1
1998-01-01,6.3,132.07,7.59,16.75,1.73,1.878464345,0.78,32.16,120.8
1998-02-01,6.4,131.4,7.54,16.06,1.88,1.857392811,1.32,20.03,137.39
1998-03-01,6.3,133.45,7.57,15.02,2.02,2.035069344,0.71,17.94,54.35
1998-04-01,6.1,134.22,7.54,15.25,2.15,1.937517892,0.71,22.26,56.66
1998-05-01,6.2,130.94,7.49,14.85,2.14,2.001906704,1.55,22.99,60.92
1998-06-01,6.3,133.51,7.71,13.66,1.85,1.902438056,1.08,24.2,58.82
1998-07-01,6.5,132.74,7.81,14.1,1.71,2.022304623,0.67,27.64,83.2
1998-08-01,6.5,132.53,7.73,13.36,1.56,2.040285799,1.16,39.75,146.1
1998-09-01,6.3,132.58,7.47,14.93,1.7,2.304641298,0.69,50.15,239.21
1998-10-01,6.2,129.37,7.22,14.39,1.56,2.065654394,0.68,43.79,157.48
1998-11-01,6,128.59,6.97,12.78,1.7,2.124014879,1.03,34.86,148.75
1998-12-01,6.1,129.01,6.46,11.27,1.84,2.049256797,1.28,25.64,87.63
1999-01-01,6.2,127.29,5.92,12.44,1.99,2.05388479,0.99,34.02,109.78
1999-02-01,6.2,128.47,5.53,12,1.84,1.95264717,0.85,21.44,37.16
1999-03-01,6.2,131.13,5.42,14.66,2.12,1.963929422,1.09,22.88,49.22
1999-04-01,6,131.27,5.32,17.31,1.97,1.919287341,1.41,21.43,34.73
1999-05-01,6,132.49,5.35,17.74,1.82,1.914713287,0.99,19.48,30.15
