Date,Unemploymentrate,RealbroadEER,ShorttermIR,OilpriceGlobalWTI,CPIinflationrate,logEPU,GPRC,USEMV,USMPU
1995-01-01,6.2,88.03,6.24,17.98,2.8,2.087816898,1.67,22.64,185.2
1995-02-01,5.9,87.25,6.16,18.54,2.86,2.00225248,1.59,22.3,166.74
1995-03-01,5.7,86.03,6.15,18.54,2.85,1.936965897,1.74,18.01,96.3
1995-04-01,5.6,82.62,6.11,19.76,3.05,1.819543936,2.2,15.85,49.73
1995-05-01,5.5,82.18,6.02,19.69,3.19,1.828015064,1.99,13.42,39.37
1995-06-01,5.8,82.23,5.9,18.42,3.04,1.87978378,2.13,15.66,120.16
1995-07-01,5.9,82.19,5.77,17.32,2.76,1.911956189,2.28,18.81,88.65
1995-08-01,5.6,84.25,5.77,18.03,2.62,1.74733411,2.38,13.36,35.92
1995-09-01,5.4,85.23,5.73,18.22,2.54,1.847449262,1.45,12.82,32.48
1995-10-01,5.2,85.23,5.79,17.44,2.81,1.902601131,1.38,17.1,42.07
1995-11-01,5.3,86.18,5.74,17.98,2.61,2.005180513,1.55,16.37,93.94
1995-12-01,5.2,86.37,5.62,19.05,2.54,1.957463616,1.41,18.06,176.52
1996-01-01,6.3,86.8,5.39,18.9,2.73,2.006808208,1.47,22.33,138.47
1996-02-01,6,86.79,5.15,19.08,2.65,1.913919765,1.65,18.14,57.52
1996-03-01,5.8,86.83,5.29,21.33,2.84,1.884398826,1.72,22.85,68.22
1996-04-01,5.4,86.68,5.36,23.53,2.9,1.850523709,1.78,15.33,29.41
1996-05-01,5.4,86.79,5.36,21.27,2.89,1.793161529,1.32,17.04,57.69
1996-06-01,5.5,87.1,5.46,20.44,2.75,1.915083102,1.31,18.38,71.41
1996-07-01,5.6,87.15,5.53,21.31,2.95,1.843170465,1.6,24.74,92.13
1996-08-01,5.1,86.53,5.4,21.93,2.88,1.94767874,1.6,16.77,42.34
1996-09-01,5,86.84,5.51,23.91,3,1.897517129,2.02,15.08,68.95
1996-10-01,4.9,87.38,5.41,24.9,2.99,1.745621221,1.07,17.37,45.36
1996-11-01,5,86.98,5.38,23.71,3.26,1.871397781,1.09,17.12,31.46
1996-12-01,5,87.49,5.44,25.52,3.32,1.827175348,1.51,20.9,60.65
1997-01-01,5.9,88.23,5.43,25.2,3.04,1.877659244,0.97,21.05,53.13
1997-02-01,5.7,89.73,5.37,22.22,3.03,1.964212473,1.05,19.48,19.42
1997-03-01,5.5,90.58,5.53,20.97,2.76,1.847880997,1.15,22.96,60.96
1997-04-01,4.8,90.79,5.71,19.72,2.5,1.851869601,1.3,23.86,65.53
1997-05-01,4.7,89.48,5.7,20.85,2.23,1.880070084,1.1,17.66,75.04
1997-06-01,5.2,89.17,5.66,19.16,2.3,1.926753905,0.75,20.72,54.08
1997-07-01,5,90.12,5.6,19.63,2.23,1.884851983,0.91,20.17,24.05
1997-08-01,4.8,91.66,5.6,19.93,2.23,1.770262738,1.05,20.95,75.88
1997-09-01,4.7,91.8,5.6,19.78,2.15,1.735678726,0.86,19.09,16.57
1997-10-01,4.4,92.27,5.65,21.26,2.08,1.968155937,1.07,32.7,80.45
1997-11-01,4.3,93.79,5.74,20.07,1.83,1.934397441,1.49,28.99,53.72
1997-12-01,4.4,96.76,5.8,18.31,1.7,2.015778756,0.95,25.81,59.1
1998-01-01,5.2,99.16,5.54,16.75,1.57,2.033222647,1.11,32.16,120.8
1998-02-01,5,97.66,5.54,16.06,1.44,2.004965887,1.84,20.03,137.39
1998-03-01,5,97.25,5.58,15.02,1.37,1.920905604,1.25,17.94,54.35
1998-04-01,4.1,97.07,5.58,15.25,1.44,1.871923032,1.07,22.26,56.66
1998-05-01,4.2,97.78,5.59,14.85,1.69,1.903795143,1.96,22.99,60.92
1998-06-01,4.7,99.92,5.6,13.66,1.68,1.907894835,1.58,24.2,58.82
1998-07-01,4.7,100.36,5.59,14.1,1.68,2.006123606,1.15,27.64,83.2
1998-08-01,4.5,102.11,5.58,13.36,1.62,2.115510662,2.23,39.75,146.1
1998-09-01,4.4,100.37,5.41,14.93,1.49,2.227989484,1.42,50.15,239.21
1998-10-01,4.2,97.38,5.21,14.39,1.49,2.161427901,1.23,43.79,157.48
1998-11-01,4.1,97.07,5.24,12.78,1.55,2.054995862,1.62,34.86,148.75
1998-12-01,4,96.16,5.14,11.27,1.61,2.044892383,1.78,25.64,87.63
1999-01-01,4.8,96.21,4.89,12.44,1.67,2.091033516,1.32,34.02,109.78
1999-02-01,4.7,97.24,4.9,12,1.61,1.977723605,1.25,21.44,37.16
1999-03-01,4.4,98.44,4.91,14.66,1.73,1.826269219,1.93,22.88,49.22
1999-04-01,4.1,98.13,4.88,17.31,2.28,1.843793198,2.36,21.43,34.73
1999-05-01,4,97.88,4.92,17.74,2.09,1.811440944,1.85,19.48,30.15
1999-06-01,4.5,98.44,5.13,17.89,1.96,1.874655733,1.63,20.6,58.5
1999-07-01,4.5,98.76,5.24,20.05,2.14,1.937166704,1.24,23.39,89.2
1999-08-01,4.2,97.64,5.41,21.26,2.26,1.886659898,1.27,26.13,77.39
1999-09-01,4.1,97,5.5,23.8,2.63,1.889301703,1.4,22.1,64.49
1999-10-01,3.8,96.6,6.13,22.59,2.56,1.81517913,1.48,25.32,64.18
1999-11-01,3.8,96.81,6,25.08,2.62,1.882638362,1.19,19.45,56.33
1999-12-01,3.7,96.71,6.05,26.04,2.68,1.899382706,1.83,17.24,115.69
2000-01-01,4.5,96.53,5.95,27.22,2.74,1.949341207,1.2,24.41,47.47
2000-02-01,4.4,97.92,6.01,29.36,3.22,1.865518519,1.23,19.91,53.64
2000-03-01,4.3,98.52,6.14,29.89,3.76,1.865103975,1.01,26.1,49.18
2000-04-01,3.7,98.98,6.28,25.8,3.07,1.848804701,1.03,43.43,86.93
2000-05-01,3.8,101.32,6.71,28.83,3.19,2.072396967,1.39,34.31,95.24
2000-06-01,4.1,100.54,6.73,31.86,3.73,2.039731296,1.27,24.22,88.46
2000-07-01,4.2,100.74,6.67,29.98,3.66,1.937818685,0.96,20.33,43.26
2000-08-01,4.1,101.28,6.61,31.22,3.41,1.770189023,0.82,18.05,55.6
2000-09-01,3.8,102.32,6.6,33.86,3.45,1.866582677,1.1,18.6,82.07
2000-10-01,3.6,103.89,6.67,33.08,3.45,1.953807998,1.71,28.47,70.28
2000-11-01,3.7,104.4,6.65,34.56,3.45,2.220578755,0.95,30.65,227.22
2000-12-01,3.7,103.28,6.45,28.39,3.39,2.174495919,0.98,34.11,210.67
2001-01-01,4.7,103.74,5.62,29.48,3.73,2.15414998,1.02,28.86,166.24
2001-02-01,4.6,104.58,5.26,29.58,3.53,2.10934227,1.17,20.95,171.64
2001-03-01,4.5,106.29,4.89,27.24,2.92,2.137891898,1.19,31.15,133.97
2001-04-01,4.2,107.07,4.53,27.45,3.27,2.17248617,1.14,27.16,155.79
2001-05-01,4.1,106.92,4.02,28.61,3.62,2.069816043,1.28,22.15,114.27
2001-06-01,4.7,107.71,3.74,27.6,3.25,1.970625777,1.51,17.06,61.84
2001-07-01,4.7,108.02,3.66,26.44,2.72,2.080229525,1.32,22.32,89.46
2001-08-01,4.9,106.16,3.48,27.47,2.72,1.979548375,1.35,19.97,90.25
2001-09-01,4.7,106.59,2.87,26.21,2.65,2.435780682,13.23,42.43,407.94
2001-10-01,5,106.87,2.31,22.21,2.13,2.393206555,13.1,29.34,337.92
2001-11-01,5.3,107.38,2.03,19.58,1.9,2.236763922,7.89,26.4,197.34
2001-12-01,5.4,106.95,1.83,19.32,1.55,2.17525081,6.05,24.36,96.79
2002-01-01,6.3,108.07,1.74,19.61,1.14,2.171580202,4.23,28.65,137.56
2002-02-01,6.1,108.74,1.82,20.78,1.14,2.019573202,3.62,24.85,60
2002-03-01,6.1,108.48,1.91,24.51,1.48,1.989049156,3.86,17.77,103.15
2002-04-01,5.7,108.24,1.87,26.27,1.64,2.02596091,3.84,20.09,57.96
2002-05-01,5.5,106.72,1.82,27,1.18,1.994053064,4.09,18.92,103.3
2002-06-01,6,105.5,1.81,25.52,1.07,2.045909467,3.67,24.8,68.22
2002-07-01,5.9,104.08,1.79,26.93,1.46,2.145072038,2.95,51.59,114.26
2002-08-01,5.7,105.31,1.73,28.38,1.8,2.13392194,3.13,39.48,131.14
2002-09-01,5.4,105.81,1.76,29.63,1.51,2.175656747,4.39,31.97,178.3
2002-10-01,5.3,106.57,1.73,28.85,2.03,2.1104887,4.16,31.46,120.58
2002-11-01,5.6,105.22,1.39,26.32,2.2,2.210104397,3.7,23.59,206.87
2002-12-01,5.7,104.29,1.34,29.55,2.38,2.205231439,4.33,24.48,165.02
2003-01-01,6.5,102.92,1.29,32.91,2.6,2.268554572,4.97,26.34,171.76
2003-02-01,6.4,103.25,1.27,35.92,2.98,2.208871138,5.82,22.73,283.8
2003-03-01,6.2,103.11,1.23,33.22,3.02,2.351506423,9,30.03,300.75
2003-04-01,5.8,102.1,1.24,28.36,2.22,2.246941512,6.59,25.45,155.59
2003-05-01,5.8,98.46,1.22,28.22,2.06,2.087461966,4,20.71,121.92
2003-06-01,6.5,98.45,1.04,30.72,2.11,2.044147621,3.55,20.11,67.79
2003-07-01,6.3,99.52,1.05,30.75,2.11,2.015988105,3.41,20.69,51.75
2003-08-01,6,100.87,1.08,31.59,2.16,1.962416693,3.36,17.65,84.2
2003-09-01,5.8,99.77,1.08,28.45,2.32,2.039612382,2.82,15.38,53.84
2003-10-01,5.6,97.48,1.1,30.33,2.04,1.895367289,2.64,14.85,33.86
2003-11-01,5.6,96.78,1.11,30.96,1.77,1.895974732,2.87,12.08,30.29
2003-12-01,5.4,95.11,1.1,32.2,1.88,1.955880086,3.16,15,60.48
2004-01-01,6.3,93.75,1.06,34.15,1.93,1.945862324,2.69,16.86,94.51
2004-02-01,6,94.42,1.05,34.72,1.69,1.948901761,2.82,12.73,53.07
2004-03-01,6,95.67,1.05,36.76,1.74,1.9259821,3.17,15.04,38.92
2004-04-01,5.4,96.37,1.08,36.72,2.29,1.901621764,3.55,16.65,57.16
2004-05-01,5.3,98.26,1.2,40.27,3.05,1.987710943,2.88,16.62,92.68
2004-06-01,5.8,97.59,1.46,38.04,3.27,1.930796263,3.36,14.78,114.74
2004-07-01,5.7,96.68,1.57,40.69,2.99,1.949194774,3.18,17.49,73.35
2004-08-01,5.4,96.75,1.68,44.94,2.65,1.926599654,3.45,15.69,95.12
2004-09-01,5.1,96.19,1.86,45.86,2.54,2.035469763,3.51,14.3,71.32
2004-10-01,5.1,95.04,2.04,53.17,3.19,2.073131565,2.94,15.52,107.7
2004-11-01,5.2,92.4,2.26,48.53,3.52,1.985426474,2.97,13.93,78.58
2004-12-01,5.1,90.9,2.45,43.28,3.26,1.823017523,2.58,17.01,28.59
2005-01-01,5.7,91.59,2.61,46.99,2.97,1.824321125,2.46,17.35,77.83
2005-02-01,5.8,91.77,2.77,47.99,3.01,1.713490543,2.62,13.99,31.34
2005-03-01,5.4,91.68,2.97,54.09,3.15,1.692935003,2.12,14.57,42.25
2005-04-01,4.9,92.94,3.09,53.04,3.51,1.894316063,1.94,18.87,68.84
2005-05-01,4.9,93.19,3.22,49.92,2.8,1.875582104,2.28,16.54,60.59
